City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Dates
Grabouw,-34.1515,19.0151,55.49,88,1,7.96,ZA,1633822238
Goderich,43.7501,-81.7165,66.52,82,14,4.61,CA,1633822239
Helong,42.5397,128.9972,54.95,87,100,7.85,CN,1633822241
Pisco,-13.7,-76.2167,64.45,77,0,6.91,PE,1633821698
Marawi,7.9986,124.2928,66.65,87,100,3.18,PH,1633822243
Dingle,10.9995,122.6711,74.21,98,100,5.46,PH,1633822245
Ketchikan,55.3422,-131.6461,50.47,62,75,3.44,US,1633821755
Bad Soden-Salmünster,50.2757,9.3671,47.62,70,13,4.05,DE,1633822247
Sherman,33.6357,-96.6089,89.01,38,7,12.77,US,1633822249
Barcelos,41.5388,-8.6151,70.92,65,99,3.76,PT,1633821738
Acaraú,-2.8856,-40.12,79.65,81,74,17.81,BR,1633822206
Zhuhai,22.2769,113.5678,80.98,94,75,16.11,CN,1633822156
Hlobyne,49.3878,33.2596,44.55,36,100,8.48,UA,1633822253
Port Macquarie,-31.4333,152.9167,80.89,54,42,9.66,AU,1633822066
Manicoré,-5.8092,-61.3003,80.17,70,100,2.66,BR,1633822256
Locri,38.2414,16.2623,66.78,83,90,5.84,IT,1633821906
Manggar,-2.8833,108.2667,83.46,73,52,8.52,ID,1633822258
Ahipara,-35.1667,173.1667,58.89,68,99,10.8,NZ,1633821744
Hailey,43.5196,-114.3153,54.9,82,90,8.05,US,1633822261
Kota Kinabalu,5.9749,116.0724,78.78,89,20,5.75,MY,1633822262
Seoul,37.5683,126.9778,72.97,83,90,5.75,KR,1633822147
Coxim,-18.5067,-54.76,88.83,41,64,3.02,BR,1633822265
Nuuk,64.1835,-51.7216,34.41,80,90,3.44,GL,1633822266
La Rioja,42.25,-2.5,50.49,95,10,3.62,ES,1633822268
Myślibórz,52.9238,14.8679,46.81,71,30,6.4,PL,1633822269
Burnie,-41.0667,145.9167,53.94,52,11,12.03,AU,1633822097
Kalmunai,7.4167,81.8167,80.1,73,100,0.76,LK,1633822271
Kempsey,-31.0833,152.8333,80.94,69,53,4.0,AU,1633822273
Xining,36.6167,101.7667,33.66,79,86,1.28,CN,1633822274
Istok,42.7808,20.4875,46.17,90,100,2.13,XK,1633822276
Epe,6.5841,3.9834,77.0,91,100,4.07,NG,1633822277
Batemans Bay,-35.7167,150.1833,63.1,69,100,8.59,AU,1633822279
Acapulco de Juárez,16.8634,-99.8901,82.22,83,90,10.36,MX,1633822280
Touros,-5.1989,-35.4608,79.7,77,73,15.75,BR,1633822281
Port Pirie,-33.1833,138.0167,57.29,59,100,14.38,AU,1633822283
Quepos,9.4236,-84.1652,86.54,88,64,1.79,CR,1633822203
Guasdualito,7.2424,-70.7324,75.52,93,60,3.44,VE,1633822285
Hässleholm,56.1591,13.7664,43.25,84,43,3.98,SE,1633822286
Sioux Lookout,50.1001,-91.917,59.38,94,90,3.44,CA,1633822288
Marsá Maţrūḩ,31.3525,27.2453,68.2,77,0,0.0,EG,1633822289
Yar-Sale,66.8333,70.8333,29.39,88,47,17.31,RU,1633821812
Hauterive,46.0901,3.4459,52.56,95,0,1.36,FR,1633822292
Aksarka,66.5606,67.7975,28.22,72,24,13.27,RU,1633822293
Leningradskiy,69.3833,178.4167,19.54,94,100,4.41,RU,1633821883
Takoradze,4.8845,-1.7554,77.05,91,100,8.57,GH,1633822295
Jérémie,18.65,-74.1167,81.18,82,26,3.36,HT,1633822297
Hofn,64.2539,-15.2082,45.9,93,100,4.63,IS,1633822298
Tagusao,9.1924,117.8141,81.18,81,100,11.68,PH,1633821917
Barabinsk,55.3571,78.357,36.93,89,78,6.42,RU,1633822301
Ouidah,6.3631,2.0851,82.26,85,100,11.27,BJ,1633822302
Nome,64.5011,-165.4064,44.17,56,1,5.75,US,1633822303
Beyneu,45.3167,55.2,47.37,53,0,8.3,KZ,1633822139
Saint-François,46.4154,3.9054,45.48,96,0,0.0,FR,1633822306
La Asuncion,11.0333,-63.8628,79.88,83,45,7.47,VE,1633821953
Kaniama,-7.5667,24.1833,70.84,65,4,1.97,CD,1633822308
Horqueta,-23.3428,-57.0597,69.78,96,92,6.71,PY,1633822310
Bethanien,-26.502,17.1583,60.21,28,82,1.81,NA,1633822311
Taoudenni,22.6783,-3.9836,91.29,10,91,6.42,ML,1633822312
Ulkan,57.243,107.3223,39.65,91,100,15.88,RU,1633822314
Esim,4.8699,-2.2405,78.01,88,100,8.41,GH,1633821759
Lyngseidet,69.5763,20.2189,46.49,90,100,7.52,NO,1633822316
Te Anau,-45.4167,167.7167,57.09,59,59,3.62,NZ,1633822024
Winnemucca,40.973,-117.7357,59.05,33,1,3.44,US,1633822319
Emba,48.8264,58.1442,42.55,48,0,6.29,KZ,1633822320
North Platte,41.1239,-100.7654,76.89,29,1,4.0,US,1633822321
Gawler,-34.6,138.7333,60.26,53,100,8.48,AU,1633822323
Shimoda,34.6667,138.95,68.36,84,78,8.72,JP,1633822324
Kassala,15.451,36.4,88.09,40,75,4.43,SD,1633822326
Belaya Gora,68.5333,146.4167,16.68,73,92,4.29,RU,1633821885
Adeje,28.1227,-16.726,70.9,70,40,2.3,ES,1633822328
Nkhotakota,-12.9274,34.2961,74.44,53,0,4.59,MW,1633822329
Gladstone,-23.85,151.25,76.93,53,8,10.36,AU,1633822331
San Angelo,31.4638,-100.437,91.62,27,1,8.99,US,1633822332
Ballitoville,-29.539,31.2144,69.24,63,0,13.8,ZA,1633822334
Half Moon Bay,37.4636,-122.4286,78.06,52,1,1.99,US,1633822335
Phuket,8.0,98.25,84.09,83,20,13.8,TH,1633822336
Polokwane,-23.9045,29.4688,67.05,56,15,3.44,ZA,1633822338
Rāpar,23.5667,70.6333,82.8,74,36,9.17,IN,1633822339
Srīvardhan,18.0333,73.0167,78.01,90,98,5.37,IN,1633822341
The Valley,18.217,-63.0578,84.06,69,20,11.5,AI,1633821842
San Miguel de Tucumán,-26.8241,-65.2226,62.6,67,90,4.61,AR,1633821938
Saldanha,-33.0117,17.9442,56.43,79,23,10.6,ZA,1633822344
Tampere,61.4991,23.7871,52.18,93,90,4.61,FI,1633822346
Broken Hill,-31.95,141.4333,51.51,87,90,17.27,AU,1633822347
Irtyshskiy,58.3333,68.1333,32.27,88,66,7.72,RU,1633822348
Kirksville,40.1948,-92.5833,75.15,69,1,8.01,US,1633822187
Stryn,61.9045,6.7226,62.15,92,100,8.84,NO,1633822351
Puerto Gaitán,4.3133,-72.0816,81.5,76,98,5.57,CO,1633822065
Ōhara,35.25,140.3833,69.75,81,47,1.28,JP,1633822353
Neyyāttinkara,8.4,77.0833,76.86,90,93,4.94,IN,1633822355
Ndjolé,-0.1783,10.7649,74.01,99,100,4.94,GA,1633822356
Haines Junction,60.7522,-137.5108,44.55,45,100,6.91,CA,1633822358
Mayo,38.8876,-76.5119,71.04,79,100,14.0,US,1633822359
Sarāhan,31.5167,77.8,51.91,43,0,5.17,IN,1633822360
Wasseiges,50.6237,5.0062,48.65,96,40,4.03,BE,1633822362
Port Blair,11.6667,92.75,79.57,85,99,14.09,IN,1633822363
Encruzilhada do Sul,-30.5439,-52.5219,57.04,92,100,9.73,BR,1633821942
Ust-Maya,60.4167,134.5333,33.57,80,50,5.39,RU,1633822366
Digha,21.6833,87.55,78.8,85,3,6.02,IN,1633822367
Yangambi,0.8102,24.4336,71.08,93,92,2.13,CD,1633822368
Gold Coast,-28.0,153.4333,80.78,62,13,4.0,AU,1633822232
Omaha,41.2586,-95.9378,75.67,65,75,12.66,US,1633822132
Kultuk,51.7208,103.6956,35.56,63,21,6.82,RU,1633822372
Churapcha,62.0025,132.4325,32.56,85,87,9.75,RU,1633822373
Kasongo,-4.45,26.6667,69.28,91,87,3.58,CD,1633822375
Uvira,-3.4067,29.1458,76.69,64,83,4.74,CD,1633822376
Yuzawa,39.1667,140.5,66.02,75,71,6.13,JP,1633822378
Taltal,-25.4,-70.4833,60.6,63,11,4.59,CL,1633822222
Misratah,32.3754,15.0925,75.45,65,81,10.25,LY,1633822380
Ürümqi,43.801,87.6005,36.55,52,0,6.71,CN,1633822381
Lundazi,-12.2929,33.1782,71.22,44,0,9.95,ZM,1633822383
Arrondissement de Mende,44.6667,3.5,38.3,96,24,3.4,FR,1633822022
Ouégoa,-20.35,164.4333,78.87,56,2,12.86,NC,1633822385
Gilbués,-9.8317,-45.3439,85.03,23,81,6.78,BR,1633822387
Great Falls,47.5002,-111.3008,63.79,19,1,8.01,US,1633822388
Xixiang,35.1628,112.865,59.16,57,84,9.26,CN,1633822390
Ayagoz,47.9714,80.4392,33.66,56,23,2.15,KZ,1633822391
Hyvinkää,60.6333,24.8667,51.67,99,100,7.05,FI,1633822392
Aykhal,66.0,111.5,32.47,98,100,13.73,RU,1633822394
Vieux-Habitants,16.0589,-61.7659,80.17,76,100,12.82,GP,1633822395
Sitka,57.0531,-135.33,46.29,71,90,9.64,US,1633822397
Hambantota,6.1241,81.1185,80.19,82,100,15.7,LK,1633821830
Boissevain,49.2306,-100.0559,50.05,82,100,12.84,CA,1633822399
Anadyr,64.75,177.4833,27.1,100,75,4.0,RU,1633822075
Xichang,27.8964,102.2634,62.02,90,91,3.09,CN,1633821934
Bakel,14.905,-12.4568,84.65,52,88,8.61,SN,1633822403
Geraldton,-28.7667,114.6,52.21,76,0,0.0,AU,1633822271
Turangi,-39.0,175.9333,55.06,61,64,2.91,NZ,1633822405
Belle Fourche,44.6714,-103.8522,59.11,68,88,17.92,US,1633822407
Whyalla,-33.0333,137.5833,57.09,67,40,16.11,AU,1633822264
Atar,20.5169,-13.0499,87.94,16,100,9.08,MR,1633822409
Zhanakorgan,43.9098,67.2495,46.0,35,99,6.06,KZ,1633822411
Kasamwa,-2.85,32.4333,68.22,88,76,2.66,TZ,1633822412
Provincia di Biella,45.5871,8.0859,54.23,89,100,1.43,IT,1633822414
Bela,25.9333,81.9833,74.46,66,3,1.72,IN,1633822415
Ratnagiri,16.9833,73.3,77.61,91,95,5.82,IN,1633822416
Española,35.9911,-106.0806,72.72,28,87,15.39,US,1633821893
Aitape,-3.1374,142.3475,85.32,70,25,0.69,PG,1633822419
Deep River,46.1001,-77.4995,62.35,97,100,8.63,CA,1633822420
Cockburn Town,21.4612,-71.1419,82.94,75,10,13.71,TC,1633821989
Tucano,-10.9631,-38.7867,72.7,80,17,11.18,BR,1633822423
Airai,-8.9266,125.4092,74.43,27,98,2.66,TL,1633822424
Kieta,-6.2167,155.6333,84.47,70,43,5.44,PG,1633822426
Kumul,42.8,93.45,41.61,35,0,5.39,CN,1633822427
Mount Isa,-20.7333,139.5,89.37,33,75,8.05,AU,1633822267
Yaan,7.3833,8.5667,73.8,96,100,5.08,NG,1633822429
Bambous Virieux,-20.3428,57.7575,72.21,83,75,12.66,MU,1633822431
Matadi,-5.8167,13.45,76.77,82,78,8.7,CD,1633822432
Danville,36.586,-79.395,67.21,88,90,8.05,US,1633822434
Maningrida,-12.0667,134.2667,84.61,67,60,7.74,AU,1633822435
Moctezuma,29.8,-109.6667,87.75,30,2,14.41,MX,1633822436
Dalian,38.9122,121.6022,66.61,63,40,8.95,CN,1633822438
Luwuk,-0.9516,122.7875,82.35,70,92,4.41,ID,1633822439
Sistranda,63.7256,8.834,58.89,96,100,8.59,NO,1633822440
Abu Samrah,35.3029,37.1841,70.52,31,0,4.16,SY,1633822442
Bahraich,27.5833,81.6,71.69,74,0,1.39,IN,1633822443
Itaituba,-4.2761,-55.9836,83.66,56,61,0.87,BR,1633821687
Bambanglipuro,-7.95,110.2833,62.6,80,50,5.84,ID,1633822446
Saint-Pierre,-21.3393,55.4781,71.28,73,75,8.05,RE,1633822447
Miyako,39.6367,141.9525,68.36,76,52,12.24,JP,1633822449
Praia da Vitória,38.7333,-27.0667,70.75,83,20,17.69,PT,1633822088
Amahai,-3.3333,128.9167,82.13,78,83,1.36,ID,1633822451
Katsuura,35.1333,140.3,69.91,80,49,3.91,JP,1633822453
Ko Samui,9.5357,99.9357,82.04,78,99,22.26,TH,1633822454
Vostok,46.4856,135.8833,44.04,97,100,4.63,RU,1633821899
Klaksvík,62.2266,-6.589,50.92,86,54,24.14,FO,1633821990
Pechory,57.8164,27.6119,33.26,61,94,5.28,RU,1633822458
Olafsvik,64.8945,-23.7142,41.31,82,73,12.21,IS,1633822459
Daru,-9.0763,143.2092,81.25,82,100,15.93,PG,1633822460
Province of Caltanissetta,37.3745,14.0642,61.41,88,7,0.76,IT,1633822462
Quiruvilca,-7.9667,-78.2,42.31,86,99,0.72,PE,1633822463
Edmond,35.6528,-97.4781,89.89,36,8,1.99,US,1633822239
Kirakira,-10.4544,161.9205,82.63,77,73,2.95,SB,1633822466
Santa Maria,-29.6842,-53.8069,65.5,88,90,10.36,BR,1633822202
Sayyan,15.1718,44.3244,59.94,46,21,10.11,YE,1633822468
Marrakesh,31.6315,-8.0083,73.47,56,0,4.61,MA,1633822469
Kholmogory,64.2229,41.656,37.51,95,97,4.63,RU,1633822471
Pedernales,18.0384,-71.744,81.34,79,8,6.17,DO,1633822472
Karakol,42.4907,78.3936,40.75,56,93,3.91,KG,1633821928
Ayan,56.45,138.1667,43.54,54,58,6.51,RU,1633822474
Nhulunbuy,-12.2333,136.7667,86.61,66,40,13.8,AU,1633822476
Bara,10.3744,10.7288,76.14,73,99,3.74,NG,1633822477
Lengshuitan,26.4111,111.5956,67.24,96,100,6.35,CN,1633822478
Kütahya,39.4242,29.9833,51.75,87,7,2.06,TR,1633822480
Mēga,4.05,38.3,61.83,78,69,14.41,ET,1633822481
Tam Ky,15.5667,108.4833,76.98,87,93,3.06,VN,1633822482
Koumac,-20.5667,164.2833,77.81,54,3,8.43,NC,1633822484
Ciudad Bolivar,8.1222,-63.5497,83.17,69,100,5.7,VE,1633822486
Hayden,47.766,-116.7866,59.97,46,1,13.8,US,1633822187
Santa Flavia,38.085,13.5351,67.73,73,58,10.0,IT,1633822488
Gizo Government Station,-8.103,156.8419,83.73,70,68,4.56,SB,1633822490
Maués,-3.3836,-57.7186,81.48,62,50,1.7,BR,1633822491
Amga,60.8953,131.9608,34.12,80,31,6.89,RU,1633822493
Cabo San Lucas,22.8909,-109.9124,94.6,57,1,3.0,MX,1633822376
Bolivar,37.6145,-93.4105,83.89,48,97,15.37,US,1633822351
Portland,45.5234,-122.6762,65.44,67,75,1.99,US,1633822203
Iquique,-20.2208,-70.1431,60.84,76,31,3.85,CL,1633822305
Lima,-12.0432,-77.0282,66.9,77,40,11.5,PE,1633822376
Ossora,59.2353,163.0719,36.63,53,64,3.74,RU,1633822500
Imeni Poliny Osipenko,52.4201,136.4853,38.77,92,100,7.11,RU,1633822501
Zeya,53.75,127.2667,40.53,72,100,15.43,RU,1633822503
Ségou,13.4317,-6.2157,85.66,31,11,1.21,ML,1633822504
Ukiah,39.1502,-123.2078,77.58,35,1,8.05,US,1633821901
Shiraz,29.6036,52.5388,64.35,19,0,6.22,IR,1633822507
Calderitas,18.55,-88.25,86.11,74,75,6.91,MX,1633822508
Serebryanyy Bor,56.8,124.8,27.37,85,61,1.81,RU,1633822509
Chapais,49.7834,-74.8492,60.58,76,76,9.37,CA,1633822027
